-0.01981,0.3111
0.00356,-0.08025,0.5336
-0.0007136,0.02087,-0.208,0.8104
0.0001568,-0.005627,0.07451,-0.4446, 1.157
-3.127e-05,0.001344,-0.02253,0.1856,-0.7753, 1.504
7.429e-06,-0.0003663,0.007298,-0.07524,0.4268,-1.303, 1.923
-1.456e-06,8.264e-05,-0.001952,0.02483,-0.1838,0.7974,-1.935, 2.324
3.175e-07,-2.007e-05,0.0005393,-0.008028,0.0723,-0.404,  1.38, -2.72, 2.724
-6.011e-08,4.254e-06,-0.0001303,0.002259,-0.0244,0.1699,-0.7638, 2.157,-3.592, 3.097
1.316e-08,-1.014e-06,3.423e-05,-0.0006662,0.008255,-0.0679,0.3752,-1.378, 3.255,-4.625,  3.47
